name,position,team,byeWeek,value
Chase Brown,RB,CIN,7,2
Rashod Bateman,WR,BAL,13,2
Romeo Doubs,WR,GB,6,2
Darnell Mooney,WR,CHI,13,2
Quentin Johnston,WR,LAC,5,2
DJ Chark Jr.,WR,CAR,7,2
Marquez Valdes-Scantling,WR,KC,10,2
DeVante Parker,WR,NE,11,2
Dalton Kincaid,TE,BUF,13,2
Juwan Johnson,TE,NO,11,2
Cole Kmet,TE,CHI,13,2
Dallas Cowboys,DST,DAL,7,2
Philadelphia Eagles,DST,PHI,10,2
New England Patriots,DST,NE,11,2
Baker Mayfield,QB,TB,5,1
Jacoby Brissett,QB,WAS,14,1
Kyle Trask,QB,TB,5,1
Colt McCoy,QB,ARI,14,1
Will Levis,QB,TEN,7,1
Trey Lance,QB,SF,9,1
Brian Hoyer,QB,LV,13,1
Taylor Heinicke,QB,ATL,11,1
Gardner Minshew II,QB,IND,11,1
Mike White,QB,MIA,10,1
Clyde Edwards-Helaire,RB,KC,10,1
Ty Chandler,RB,MIN,13,1
Kendre Miller,RB,NO,11,1
Curtis Samuel,WR,WAS,14,1
Donovan Peoples-Jones,WR,CLE,5,1
Jonathan Mingo,WR,CAR,7,1
Irv Smith Jr.,TE,CIN,7,1
Noah Fant,TE,SEA,5,1
Hayden Hurst,TE,CAR,7,1
Indianapolis Colts,DST,IND,11,1
Pittsburgh Steelers,DST,PIT,6,1
Cleveland Browns,DST,CLE,5,1
San Francisco 49ers,DST,SF,9,1
Washington Commanders,DST,WAS,14,1
New Orleans Saints,DST,NO,11,1
Kansas City Chiefs,DST,KC,10,1
Miami Dolphins,DST,MIA,10,1
Green Bay Packers,DST,GB,6,1
Buffalo Bills,DST,BUF,13,1
Los Angeles Chargers,DST,LAC,5,1
Zane Gonzalez,K,SF,9,1
Greg Joseph,K,MIN,13,1
Jason Myers,K,SEA,5,1
Justin Tucker,K,BAL,13,1
Harrison Butker,K,KC,10,1
Evan McPherson,K,CIN,7,1
Tyler Bass,K,BUF,13,1
Daniel Carlson,K,LV,13,1
Cameron Dicker,K,LAC,5,1
Jake Elliott,K,PHI,10,1
Younghoe Koo,K,ATL,11,1
Tristan Vizcaino,K,,,1
Graham Gano,K,NYG,13,1
Riley Patterson,K,DET,9,1
